petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,petror50_r,petror90_r,concentration,devab_r,u_g,g_r,r_i,i_z,target
18.656874,16.86207,15.999171,15.592069,15.268464,1.40178,4.088108,2.9163691877470073,0.403741,1.7948039999999992,0.8628989999999988,0.4071020000000001,0.3236050000000006,elliptical
20.03301,18.036293,16.957333,16.521179,16.162977,2.059025,5.988977,2.908647053824019,0.781372,1.9967170000000003,1.0789600000000021,0.4361539999999984,0.3582019999999986,elliptical
19.279625,17.699274,16.525475,16.011154,15.679404,3.341499,10.685154,3.19771276304437,0.926217,1.5803510000000003,1.173798999999999,0.5143209999999989,0.3317500000000013,elliptical
18.485443,17.055496,16.376755,16.025484,15.726234,2.582846,6.857145,2.654879539856422,0.305972,1.4299469999999985,0.6787410000000023,0.35127100000000056,0.2992499999999989,elliptical
18.227594,16.44873,15.55011,15.158487,14.921256,3.230403,10.0026,3.0963938555034773,0.847496,1.7788639999999987,0.8986200000000011,0.39162300000000094,0.23723099999999953,elliptical
18.298483,16.651903,15.987198,15.633489,15.441173,2.95124,7.689556,2.6055339450536046,0.729634,1.6465800000000002,0.6647050000000014,0.3537089999999985,0.1923160000000017,elliptical
16.841013,15.840469,15.520671,15.289094,15.199986,3.01175,8.63793,2.86807669959326,0.58056,1.0005439999999997,0.31979800000000047,0.2315769999999997,0.08910799999999952,elliptical
18.615372,16.701395,15.785481,15.356897,15.02387,3.967761,11.743649,2.959767233963941,0.932277,1.9139769999999992,0.9159140000000008,0.42858400000000074,0.3330269999999995,elliptical
18.675306,16.860413,15.942325,15.521,15.194907,3.655687,10.324236,2.824157538651422,0.708075,1.8148929999999979,0.9180880000000009,0.4213249999999995,0.3260930000000002,elliptical
17.207462,15.600351,14.841349,14.478149,14.214327,5.268391,13.440445,2.5511479690858176,0.538049,1.6071109999999997,0.7590020000000006,0.3631999999999991,0.26382199999999933,spiral
19.8197,17.613918,16.51656,16.067797,15.726826,3.626479,11.413304,3.147213592026867,0.864939,2.2057819999999992,1.0973580000000034,0.4487629999999996,0.3409709999999979,elliptical
19.002472,17.334417,16.4576,16.059956,15.764459,1.685479,5.127122,3.041937633159476,0.533285,1.6680550000000025,0.8768169999999991,0.39764399999999966,0.29549699999999923,elliptical
19.537865,17.784834,16.746622,16.32502,16.005003,2.124993,6.844481,3.220942845458785,0.601564,1.753031,1.0382120000000015,0.42160200000000003,0.320017,elliptical
20.526167,18.132813,16.954138,16.483761,16.10845,1.9926,6.626059,3.325333232961959,0.650911,2.393354000000002,1.1786749999999984,0.47037699999999916,0.37531099999999995,elliptical
19.726021,17.752432,16.606611,16.145811,15.849771,2.683012,8.387855,3.1262830729046307,0.916713,1.9735890000000005,1.145820999999998,0.46080000000000254,0.29603999999999786,elliptical
17.082962,15.639263,14.909589,14.530234,14.307939,6.299842,13.867119,2.2011852043273468,0.694131,1.4436989999999987,0.7296739999999993,0.37935500000000033,0.2222950000000008,spiral
17.639566,15.876431,15.042129,14.650596,14.353349,2.72369,8.453475,3.1036847071436173,0.661973,1.7631349999999983,0.834302000000001,0.391532999999999,0.2972470000000005,elliptical
18.659155,16.686222,15.757172,15.333368,15.036035,3.052001,9.153744,2.999259829862441,0.503096,1.9729329999999976,0.9290500000000002,0.4238040000000005,0.29733300000000007,elliptical
16.777285,15.107458,14.308768,13.923211,13.684776,4.36247,15.685485,3.5955513734191866,0.834694,1.6698269999999997,0.7986899999999988,0.38555700000000037,0.23843500000000084,spiral
19.32547,17.642553,16.778889,16.337776,16.056765,1.769598,4.557304,2.5753329287216644,0.307571,1.6829169999999998,0.863664,0.44111299999999787,0.281011000000003,elliptical
